time,temperature_2m
2025-10-21T00:00,10.2
2025-10-21T01:00,8.8
2025-10-21T02:00,8.0
2025-10-21T03:00,7.7
2025-10-21T04:00,8.2
2025-10-21T05:00,6.6
2025-10-21T06:00,6.0
2025-10-21T07:00,5.9
2025-10-21T08:00,5.7
2025-10-21T09:00,5.4
2025-10-21T10:00,4.7
2025-10-21T11:00,4.0
2025-10-21T12:00,4.1
2025-10-21T13:00,4.1
2025-10-21T14:00,4.4
2025-10-21T15:00,4.5
2025-10-21T16:00,4.3
2025-10-21T17:00,5.1
2025-10-21T18:00,5.6
2025-10-21T19:00,5.9
2025-10-21T20:00,6.0
2025-10-21T21:00,6.4
2025-10-21T22:00,6.3
2025-10-21T23:00,5.3
